service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
SN1,0,0,0,0,1,1,0,20260102,20260103,"2026-01-02 → 01-03 (ven, sam)"
SN2,0,0,0,1,0,0,1,20260101,20260104,"2026-01-01 → 01-04 (jeu, dim)"
SN3,0,0,0,0,0,1,0,20260110,20260711,"2026-01-10 → 07-11 (4 lun, 5 mar, 5 mer, 5 jeu, 5 ven, 27 sam)"
SN4,1,1,1,1,1,1,0,20260105,20260711,"2026-01-05 → 07-11 (25 lun, 27 mar, 27 mer, 26 jeu, 25 ven, 27 sam)"
SN5,0,0,0,0,0,0,1,20260111,20260712,"2026-01-11 → 07-12 (2 lun, jeu, 2 ven, 27 dim)"
SN6,1,1,1,1,1,0,0,20260105,20260703,"2026-01-05 → 07-03 (21 lun, 22 mar, 22 mer, 21 jeu, 20 ven)"
SN7,1,1,0,1,1,0,0,20260105,20260703,"2026-01-05 → 07-03 (21 lun, 22 mar, 21 jeu, 20 ven)"
SN8,0,0,1,0,0,0,0,20260107,20260701,2026-01-07 → 07-01 (22 mer)
SP1,0,0,0,0,0,1,0,20251004,20251231,"2025-10-04 → 12-31 (4 lun, 4 mar, 4 mer, 2 jeu, 3 ven, 12 sam)"
SP2,1,1,1,1,1,1,0,20250930,20251231,"2025-09-30 → 12-31 (13 lun, 13 mar, 14 mer, 12 jeu, 13 ven, 12 sam)"
SP3,0,0,0,0,0,0,1,20251005,20251228,"2025-10-05 → 12-28 (mar, jeu, sam, 13 dim)"
SP4,1,1,0,1,1,0,0,20250930,20251219,"2025-09-30 → 12-19 (9 lun, 9 mar, 10 jeu, 10 ven)"
SP5,1,1,1,1,1,0,0,20250930,20251219,"2025-09-30 → 12-19 (9 lun, 9 mar, 10 mer, 10 jeu, 10 ven)"
SP6,0,0,1,0,0,0,0,20251001,20251217,2025-10-01 → 12-17 (10 mer)
SP7,0,0,0,0,1,0,0,20251003,20251219,2025-10-03 → 12-19 (10 ven)
UN1,0,0,0,0,0,0,1,20260101,20260712,"2026-01-01 → 07-12 (2 lun, 2 jeu, 2 ven, 28 dim)"
UN2,0,0,0,0,0,1,0,20260103,20260711,2026-01-03 → 07-11 (28 sam)
UN3,1,1,1,1,1,0,0,20260102,20260710,"2026-01-02 → 07-10 (25 lun, 27 mar, 27 mer, 26 jeu, 26 ven)"
UN4,0,0,1,0,0,0,0,20260107,20260708,2026-01-07 → 07-08 (27 mer)
UP1,0,0,0,0,0,0,1,20250831,20251228,"2025-08-31 → 12-28 (mar, jeu, sam, 18 dim)"
UP2,0,0,0,0,0,1,0,20250830,20251227,2025-08-30 → 12-27 (17 sam)
UP3,1,1,1,1,1,0,0,20250825,20251231,"2025-08-25 → 12-31 (19 lun, 18 mar, 19 mer, 17 jeu, 18 ven)"
UP4,0,0,1,0,0,0,0,20250827,20251231,2025-08-27 → 12-31 (19 mer)
