service_id,date,exception_type
SN3,20260209,1
SN3,20260210,1
SN3,20260211,1
SN3,20260212,1
SN3,20260213,1
SN3,20260216,1
SN3,20260217,1
SN3,20260218,1
SN3,20260219,1
SN3,20260220,1
SN3,20260407,1
SN3,20260408,1
SN3,20260409,1
SN3,20260410,1
SN3,20260413,1
SN3,20260414,1
SN3,20260415,1
SN3,20260416,1
SN3,20260417,1
SN3,20260706,1
SN3,20260707,1
SN3,20260708,1
SN3,20260709,1
SN3,20260710,1
SN4,20260406,2
SN4,20260501,2
SN4,20260508,2
SN4,20260514,2
SN4,20260525,2
SN5,20260406,1
SN5,20260501,1
SN5,20260508,1
SN5,20260514,1
SN5,20260525,1
SN6,20260209,2
SN6,20260210,2
SN6,20260211,2
SN6,20260212,2
SN6,20260213,2
SN6,20260216,2
SN6,20260217,2
SN6,20260218,2
SN6,20260219,2
SN6,20260220,2
SN6,20260406,2
SN6,20260407,2
SN6,20260408,2
SN6,20260409,2
SN6,20260410,2
SN6,20260413,2
SN6,20260414,2
SN6,20260415,2
SN6,20260416,2
SN6,20260417,2
SN6,20260501,2
SN6,20260508,2
SN6,20260514,2
SN6,20260525,2
SN7,20260209,2
SN7,20260210,2
SN7,20260212,2
SN7,20260213,2
SN7,20260216,2
SN7,20260217,2
SN7,20260219,2
SN7,20260220,2
SN7,20260406,2
SN7,20260407,2
SN7,20260409,2
SN7,20260410,2
SN7,20260413,2
SN7,20260414,2
SN7,20260416,2
SN7,20260417,2
SN7,20260501,2
SN7,20260508,2
SN7,20260514,2
SN7,20260525,2
SN8,20260211,2
SN8,20260218,2
SN8,20260408,2
SN8,20260415,2
SP1,20251020,1
SP1,20251021,1
SP1,20251022,1
SP1,20251023,1
SP1,20251024,1
SP1,20251027,1
SP1,20251028,1
SP1,20251029,1
SP1,20251030,1
SP1,20251031,1
SP1,20251222,1
SP1,20251223,1
SP1,20251224,1
SP1,20251226,1
SP1,20251229,1
SP1,20251230,1
SP1,20251231,1
SP1,20251101,2
SP2,20251101,2
SP2,20251111,2
SP2,20251225,2
SP3,20251101,1
SP3,20251111,1
SP3,20251225,1
SP4,20251020,2
SP4,20251021,2
SP4,20251023,2
SP4,20251024,2
SP4,20251027,2
SP4,20251028,2
SP4,20251030,2
SP4,20251031,2
SP4,20251111,2
SP5,20251020,2
SP5,20251021,2
SP5,20251022,2
SP5,20251023,2
SP5,20251024,2
SP5,20251027,2
SP5,20251028,2
SP5,20251029,2
SP5,20251030,2
SP5,20251031,2
SP5,20251111,2
SP6,20251022,2
SP6,20251029,2
SP7,20251024,2
SP7,20251031,2
UN1,20260101,1
UN1,20260406,1
UN1,20260501,1
UN1,20260508,1
UN1,20260514,1
UN1,20260525,1
UN3,20260406,2
UN3,20260501,2
UN3,20260508,2
UN3,20260514,2
UN3,20260525,2
UP1,20251101,1
UP1,20251111,1
UP1,20251225,1
UP2,20251101,2
UP3,20251111,2
UP3,20251225,2
