stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ext_id,city_name
10152,,1er RA,47.57868600,6.89817100,,,1,,0,RgA,Bourogne
10263,,1re Armée,47.65500800,6.84750600,,,1,,0,1armé,Belfort
11565,,1ère Dfl,47.74844000,6.82059800,,,1,,0,1DFL,Giromagny
10594,,4 As,47.63807200,6.85512900,,,1,,1,4as,Belfort
11518,,5ème Db,47.61649600,6.79043400,,,1,,0,5DB,Buc
11219,,Acacias,47.60208700,6.81869500,,,1,,0,Aca,Argiésans
11722,,Ackermann,47.51192000,7.01201400,,,1,,0,AKM0,Delle
11744,,Acropole,47.50975600,6.80197700,,,1,,0,Acro0,Montbéliard
11571,,Adour,47.49285100,6.97781100,,,1,,0,Adou,Lebetain
11523,,Allaine,47.51030000,7.00159400,,,1,,0,Allai,Delle
11562,,Alsace,47.73748200,6.83463300,,,1,,0,Alsac,Giromagny
10288,,Alstom Etang,47.65003000,6.83344300,,,1,,0,ALst,Cravanche
10296,,Altkirch,47.63145300,6.86799300,,,1,,0,Altk,Belfort
11324,,Ancienne Douane,47.63556100,7.00541900,,,1,,0,AncDo,Foussemagne
11605,,Ancienne Gare,47.73291600,6.96888100,,,1,,0,AncGa,Rougemont-le-Château
11650,,Ancienne École,47.78289000,6.83409600,,,1,,0,AHS,Lepuix
11676,,Andelnans,47.60170400,6.86585700,,,1,,0,AIU01,Andelnans
10145,,Andelnans Prés,47.60676900,6.85896200,,,1,,0,Andel,Andelnans
11334,,Angeot,47.69622700,7.01431600,,,1,,0,Angeo,Angeot
11736,,Angoulotte,47.51301400,6.91335400,,,1,,0,AKV0,Dampierre-les-Bois
11544,,Anjoutey,47.70079500,6.93289000,,,1,,0,Anjou,Anjoutey
11573,,Ap90,47.55628700,6.93058400,,,1,,0,AP90,Morvillars
11621,,Arcades,47.48522000,6.92580000,,,1,,0,Arcad,Beaucourt
11240,,Argiésans,47.60384700,6.82259800,,,1,,0,ArC,Argiésans
11341,,As de Trèfle,47.64159500,6.86777300,,,1,,0,AsT,Belfort
11576,,Atria,47.64138200,6.86271300,,,1,,0,Atria,Belfort
10120,,Aubépines,47.68456000,6.85830300,,,1,,0,aubé,Éloie
11392,,Autrechêne,47.59547500,6.96053400,,,1,,0,Autre,Autrechêne
11430,,Auxelles-Bas,47.73470800,6.78138600,,,1,,0,aux,Auxelles-Bas
11433,,Auxelles-Haut,47.74289000,6.77158000,,,1,,0,AxH,Auxelles-Haut
11536,,Aéroparc,47.66078000,7.00892000,,,1,,0,AerPa,Fontaine
11521,,Badevel,47.50359700,6.93875200,,,1,,0,BAd,Badevel
