from_stop_id,to_stop_id,transfer_type,min_transfer_time
22505,22505,2,60
22505,22504,2,84
22868,22868,2,60
22989,22989,2,60
22901,22901,2,60
22626,22626,2,60
22747,22747,2,60
22868,22867,2,66
20601,20602,2,126
22901,22900,2,109
22747,22748,2,77
20601,20601,2,60
20279,10145,2,72
23054,11711,2,88
20909,10476,2,70
23180,11788,2,60
22989,22990,2,68
22673,11497,2,79
22506,22507,2,72
22506,22506,2,60
22748,22747,2,77
22902,22902,2,60
22627,22627,2,60
22748,22748,2,60
20567,20566,2,101
20600,20600,2,60
20567,20567,2,60
20963,20962,2,89
20963,20963,2,60
23055,11712,2,60
22799,11561,2,78
23181,11789,2,60
22507,22507,2,60
22507,22506,2,72
20566,20567,2,101
20566,20566,2,60
23056,11711,2,88
20962,20962,2,60
20962,20963,2,89
22798,11561,2,78
22508,22509,2,74
22508,22508,2,60
23182,11790,2,73
22904,22904,2,60
20565,20564,2,64
20565,20565,2,60
20961,20960,2,87
20961,20961,2,60
22797,11560,2,64
22004,11137,2,68
22627,22650,2,60
22670,11495,2,69
22509,22509,2,60
22509,22508,2,74
20564,20565,2,64
20289,20289,2,60
22905,22905,2,60
23183,11790,2,73
20564,20564,2,60
23058,11713,2,60
20960,20960,2,60
22796,11560,2,64
20960,20961,2,87
22003,11137,2,68
20289,20290,2,97
20274,10142,2,65
22906,22906,2,60
20563,20562,2,61
20563,20563,2,60
22906,22907,2,87
20276,10143,2,110
23059,11714,2,60
22795,11559,2,64
22002,11136,2,64
21014,21014,2,60
20275,10143,2,110
20562,20563,2,61
22907,22907,2,60
23023,22735,2,101
22907,22906,2,87
23023,22734,2,111
20562,20562,2,60
21013,21012,2,91
21013,21013,2,60
22001,11136,2,64
20272,10141,2,83
22541,11428,2,65
22794,11559,2,64
21784,10998,2,64
23186,11791,2,80
20286,20286,2,60
22099,20001,2,78
23063,11695,2,66
21012,21013,2,91
21012,21012,2,60
22378,11344,2,60
22000,11135,2,80
20273,10142,2,65
22793,11558,2,65
22540,11428,2,65
22101,22101,2,60
22585,22586,2,71
22343,22342,2,69
22464,22464,2,60
22101,22103,2,82
22585,22585,2,60
22343,22343,2,60
22101,22102,2,67
22860,22860,2,60
22981,22981,2,60
22101,22104,2,74
22428,11370,2,71
22843,11586,2,67
22982,22979,2,102
22968,11662,2,84
23036,23036,2,60
23157,23157,2,60
22716,11518,2,61
22344,22345,2,66
22102,22102,2,60
22465,22466,2,73
22102,22101,2,67
22465,22465,2,60
22983,22978,2,93
22102,22104,2,81
22586,22586,2,60
22344,22344,2,60
22102,22103,2,90
22586,22585,2,71
22861,22861,2,60
22982,22982,2,60
22740,22740,2,60
22740,22741,2,69
20608,20608,2,60
22861,22862,2,67
20608,20607,2,98
22982,22983,2,137
22842,11585,2,63
22581,23006,2,129
22967,11661,2,63
23037,23037,2,60
22715,11518,2,61
22103,22101,2,82
22103,22103,2,60
22103,22102,2,90
22345,22344,2,66
22466,22466,2,60
22587,22587,2,60
22345,22345,2,60
22466,22465,2,73
22103,22104,2,69
22741,22740,2,69
22862,22862,2,60
22983,22983,2,60
22620,22620,2,60
22741,22741,2,60
22862,22861,2,67
20607,20608,2,98
22983,22982,2,137
22620,22621,2,117
20607,20607,2,60
22841,11585,2,63
22721,11455,2,122
22427,11369,2,95
22966,11660,2,62
23038,23038,2,60
22714,11517,2,73
22720,11455,2,128
21753,10483,2,76
22104,22102,2,81
22104,22101,2,74
22346,22347,2,82
22104,22104,2,60
22467,22468,2,67
22104,22103,2,69
22467,22467,2,60
22500,22500,2,60
22588,22588,2,60
22346,22346,2,60
22621,22620,2,117
22863,22863,2,60
22984,22984,2,60
22621,22621,2,60
22742,22742,2,60
20606,20606,2,60
21752,10476,2,70
22863,22864,2,88
20606,20605,2,88
22840,11584,2,74
20969,20969,2,60
22426,11369,2,95
22965,11659,2,63
22713,11517,2,74
21937,21937,2,60
21937,21936,2,71
22588,22591,2,60
20969,20970,2,109
22105,22105,2,60
22347,22346,2,82
22468,22468,2,60
22501,22501,2,60
22589,22589,2,60
22347,22347,2,60
22468,22467,2,67
22105,22106,2,108
20209,20209,2,60
22864,22864,2,60
22985,22985,2,60
22622,22622,2,60
22864,22863,2,88
20605,20606,2,88
22984,22994,2,129
22622,22623,2,67
20605,20605,2,60
20968,20968,2,60
22678,11499,2,65
20209,20210,2,81
22589,22590,2,95
21936,21937,2,71
21936,21936,2,60
22985,22993,2,70
20570,10299,2,72
22348,22349,2,67
22106,22106,2,60
22502,22503,2,93
22106,22105,2,108
22469,22469,2,60
22502,22502,2,60
22348,22348,2,60
22623,22622,2,67
22865,22865,2,60
22986,22986,2,60
22623,22623,2,60
22865,22866,2,117
22677,11499,2,65
22469,22470,2,102
22423,11367,2,78
21935,21935,2,60
