route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,UN3,UN3074796,Résidences,0,UN1-1,UN56202,1,0
1,UP3,UP3018915,Résidences,0,UP1-1,UP54763,1,0
1,UN2,UN3078825,Résidences,0,UN1-1,UN56202,1,0
1,UP2,UP3023136,Résidences,0,UP1-1,UP54763,1,0
1,UN3,UN3074415,Résidences,0,UN1-2,UN56202,1,0
1,UP3,UP3018484,Résidences,0,UP1-2,UP54763,1,0
1,UN2,UN3078828,Résidences,0,UN1-2,UN56202,1,0
1,UP2,UP3023139,Résidences,0,UP1-2,UP54763,1,0
1,UN3,UN3074799,Résidences,0,UN1-3,UN56202,1,0
1,UP3,UP3018918,Résidences,0,UP1-3,UP54763,1,0
1,UN3,UN3075150,Résidences,0,UN1-4,UN56202,1,0
1,UP3,UP3019271,Résidences,0,UP1-4,UP54763,1,0
1,UN2,UN3078930,Résidences,0,UN1-1,UN56202,1,0
1,UP2,UP3023241,Résidences,0,UP1-1,UP54763,1,0
1,UN3,UN3073743,Résidences,0,UN1-1,UN56202,1,0
1,UP3,UP3017807,Résidences,0,UP1-1,UP54763,1,0
1,UN3,UN3074689,Résidences,0,UN1-5,UN56202,1,0
1,UP3,UP3018808,Résidences,0,UP1-5,UP54763,1,0
1,UN3,UN3074752,Résidences,0,UN1-2,UN56202,1,0
1,UP3,UP3018871,Résidences,0,UP1-2,UP54763,1,0
1,UN2,UN3078837,Résidences,0,UN1-3,UN56202,1,0
1,UP2,UP3023148,Résidences,0,UP1-3,UP54763,1,0
1,UN3,UN3074801,Résidences,0,UN1-6,UN56202,1,0
1,UP3,UP3018920,Résidences,0,UP1-6,UP54763,1,0
1,UN3,UN3074690,Résidences,0,UN1-7,UN56202,1,0
1,UP3,UP3018809,Résidences,0,UP1-7,UP54763,1,0
1,UN2,UN3078838,Résidences,0,UN1-2,UN56202,1,0
1,UP2,UP3023149,Résidences,0,UP1-2,UP54763,1,0
1,UN3,UN3074418,Résidences,0,UN1-3,UN56202,1,0
1,UP3,UP3018487,Résidences,0,UP1-3,UP54763,1,0
1,UN3,UN3074753,Résidences,0,UN1-8,UN56202,1,0
1,UP3,UP3018872,Résidences,0,UP1-8,UP54763,1,0
1,UN2,UN3078839,Résidences,0,UN1-4,UN56202,1,0
